,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0,1,38050631.0,59.7,41.0,NA,3.201419688314625,10.0,1.0,0.0,1.0,0.0,4.0,11.0,1.0
1,1,11118000.0,43.6,15.4,15.6,3.464962497768431,10.0,1.0,1.0,1.0,1.0,2.0,19.0,1.0
2,2,43919450.0,105.3,NA,NA,2.233631583829575,8.0,1.0,0.0,1.0,0.0,2.0,7.0,1.0
3,5,1730000.0,194.2,1.0,NA,3.5630236988370156,NA,0.0,1.0,0.0,1.0,10.0,13.0,0.0
4,1,4403057.0,22.7,22.7,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,3.0,NA,1.0
5,1,4585315.0,17.3,17.3,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,2.0,NA,1.0
6,1,4814581.0,17.3,10.0,NA,5.515174218521208,6.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0
7,1,4814581.0,17.3,17.3,0,5.559235342432982,5.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0
8,1,5300000.0,32.0,20.0,7.0,5.56555619164505,4.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0
9,1,5377566.0,18.3,10.0,NA,5.515174218521208,6.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0
10,1,5377566.0,18.3,18.3,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,5.0,NA,1.0
11,1,5496232.0,23.7,23.7,0,5.559235342432982,5.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0
12,1,5550000.0,37.4,20.0,9.6,6.746869251990324,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,1,5999000.0,30.0,16.0,6.0,6.763515002883967,NA,0.0,1.0,1.0,1.0,3.0,5.0,0.0
14,1,6000000.0,32.0,20.0,6.0,5.614385400283312,10.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
15,1,6000000.0,35.0,20.0,10.0,6.7056930524897504,13.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0
16,1,6000000.0,35.1,20.1,9.6,5.530931065548001,10.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0
17,1,6100000.0,34.0,21.0,8.0,4.386355118170973,12.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0
18,1,6100000.0,36.0,20.0,10.0,5.530931065548001,10.0,1.0,1.0,1.0,1.0,12.0,12.0,0.0
19,1,6258687.0,25.5,15.0,NA,5.515174218521208,6.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0
20,1,6300000.0,35.0,18.0,8.0,6.58850337254281,12.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0
21,1,6325576.0,30.0,17.0,NA,5.515174218521208,6.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0
22,1,6325576.0,29.5,29.5,0,5.542916000413058,5.0,1.0,1.0,0.0,1.0,3.0,6.0,0.0
23,1,6437035.0,33.5,18.0,NA,5.515174218521208,6.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0
24,1,6449418.0,28.5,16.0,NA,5.515174218521208,6.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0
25,1,6467402.0,28.2,28.2,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,3.0,NA,1.0
26,1,6500000.0,36.8,20.5,6.0,6.784752974721633,11.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0
27,1,6577730.0,28.1,28.1,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,4.0,NA,1.0
28,4,203956480.0,206.0,130.0,20.0,0.9769805501590246,NA,0.0,0.0,1.0,0.0,6.0,8.0,0.0
29,2,18500000.0,56.0,31.3,9.1,3.57436027886058,6.0,1.0,1.0,1.0,1.0,7.0,12.0,0.0
30,3,127472800.0,120.0,100.0,10.0,2.4961056427931587,3.0,1.0,1.0,1.0,1.0,5.0,14.0,0.0
31,1,6600000.0,34.0,18.0,10.0,7.062511466405674,NA,0.0,0.0,1.0,1.0,2.0,12.0,0.0
32,2,6600000.0,33.1,18.0,6.0,5.810564122807148,NA,0.0,1.0,0.0,1.0,5.0,9.0,0.0
33,1,6600000.0,33.1,20.2,5.6,5.810564122807148,NA,0.0,1.0,0.0,1.0,5.0,9.0,0.0
34,1,6800000.0,27.0,17.0,5.4,6.892461057287865,10.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0
35,1,6800000.0,31.0,19.0,7.0,5.253933623223144,NA,0.0,1.0,0.0,1.0,4.0,5.0,0.0
36,1,6850000.0,32.0,17.0,8.0,5.571779419592551,9.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0
37,1,6900000.0,34.0,19.0,9.0,3.464962497768431,5.0,1.0,0.0,0.0,1.0,3.0,16.0,0.0
38,1,6934500.0,34.0,NA,NA,3.464962497768431,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0
39,1,7000000.0,36.0,20.0,10.0,5.512868250608081,15.0,1.0,0.0,0.0,1.0,4.0,12.0,0.0
40,2,7000000.0,35.0,22.0,5.5,6.054717651143381,10.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0
41,1,7007958.0,31.7,31.7,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,2.0,NA,1.0
42,2,7021000.0,41.2,27.8,NA,5.964426330463657,NA,0.0,1.0,1.0,0.0,5.0,19.0,1.0
43,1,7079400.0,34.0,19.0,9.0,3.464962497768431,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0
44,1,7189943.0,30.5,30.5,0,5.515174218521208,6.0,1.0,0.0,1.0,1.0,4.0,NA,1.0
45,1,7200000.0,35.0,20.0,9.0,6.664439684369704,10.0,1.0,0.0,0.0,1.0,10.0,12.0,0.0
46,1,7200000.0,27.0,25.0,NA,6.892461057287865,NA,0.0,0.0,0.0,0.0,4.0,5.0,0.0
47,1,7200000.0,32.0,19.0,6.0,6.035163476457931,15.0,1.0,1.0,0.0,1.0,3.0,9.0,0.0
